"C25095_001E","C25095_001M","C25095_002E","C25095_002M","C25095_003E","C25095_003M","C25095_004E","C25095_004M","C25095_005E","C25095_005M","C25095_006E","C25095_006M","C25095_007E","C25095_007M","C25095_008E","C25095_008M","C25095_009E","C25095_009M","C25095_010E","C25095_010M","C25095_011E","C25095_011M","C25095_012E","C25095_012M","C25095_013E","C25095_013M","C25095_014E","C25095_014M","C25095_015E","C25095_015M","C25095_016E","C25095_016M","C25095_017E","C25095_017M","C25095_018E","C25095_018M","C25095_019E","C25095_019M","C25095_020E","C25095_020M","C25095_021E","C25095_021M","C25095_022E","C25095_022M","C25095_023E","C25095_023M","C25095_024E","C25095_024M","C25095_025E","C25095_025M","C25095_026E","C25095_026M","C25095_027E","C25095_027M","C25095_028E","C25095_028M","C25095_029E","C25095_029M","GEO_ID","NAME"
"240","70","28","26","0","12","28","26","0","12","40","32","16","19","24","26","0","12","77","44","57","36","20","22","0","12","22","22","11","12","11","19","0","12","51","29","51","29","0","12","0","12","12","14","12","14","0","12","0","12","10","10","10","10","0","12","0","12","1500000US371779601002","Block Group 2, Census Tract 9601, Tyrrell County, North Carolina"
"323","71","35","33","0","12","27","31","8","12","44","36","23","24","21","27","0","12","93","47","34","28","59","41","0","12","36","30","16","21","20","22","0","12","66","52","66","52","0","12","0","12","35","31","35","31","0","12","0","12","14","16","14","16","0","12","0","12","1500000US371779601003","Block Group 3, Census Tract 9601, Tyrrell County, North Carolina"
"210","68","0","12","0","12","0","12","0","12","32","27","24","23","8","13","0","12","27","25","27","25","0","12","0","12","74","50","51","43","23","28","0","12","51","27","46","27","5","8","0","12","17","26","17","26","0","12","0","12","9","14","9","14","0","12","0","12","1500000US371779601004","Block Group 4, Census Tract 9601, Tyrrell County, North Carolina"
"477","110","19","31","0","12","19","31","0","12","0","12","0","12","0","12","0","12","161","78","87","62","74","64","0","12","55","44","39","35","16","27","0","12","123","79","123","79","0","12","0","12","57","46","43","38","14","22","0","12","62","50","62","50","0","12","0","12","1500000US371790201001","Block Group 1, Census Tract 201, Union County, North Carolina"
"598","120","12","19","0","12","12","19","0","12","38","45","0","12","38","45","0","12","148","92","94","74","54","63","0","12","31","37","31","37","0","12","0","12","124","70","79","53","45","44","0","12","22","26","22","26","0","12","0","12","223","101","186","91","37","51","0","12","1500000US371790201002","Block Group 2, Census Tract 201, Union County, North Carolina"
"854","123","54","62","0","12","40","58","14","22","0","12","0","12","0","12","0","12","98","59","84","58","14","23","0","12","155","88","81","54","74","75","0","12","141","91","141","91","0","12","0","12","122","71","122","71","0","12","0","12","284","99","284","99","0","12","0","12","1500000US371790201003","Block Group 3, Census Tract 201, Union County, North Carolina"
"645","139","12","22","0","12","0","12","12","22","0","12","0","12","0","12","0","12","40","32","24","28","16","26","0","12","89","79","29","35","60","71","0","12","167","120","138","110","29","48","0","12","200","104","182","102","18","31","0","12","137","68","137","68","0","12","0","12","1500000US371790202021","Block Group 1, Census Tract 202.02, Union County, North Carolina"
"367","135","0","12","0","12","0","12","0","12","35","33","11","19","24","28","0","12","9","15","0","12","9","15","0","12","72","89","72","89","0","12","0","12","180","95","121","62","59","71","0","12","17","29","0","12","17","29","0","12","54","63","54","63","0","12","0","12","1500000US371790202022","Block Group 2, Census Tract 202.02, Union County, North Carolina"
"315","72","13","21","13","21","0","12","0","12","37","44","37","44","0","12","0","12","25","20","14","21","11","19","0","12","11","18","11","18","0","12","0","12","30","36","30","36","0","12","0","12","43","39","26","30","17","27","0","12","156","68","156","68","0","12","0","12","1500000US371790202023","Block Group 3, Census Tract 202.02, Union County, North Carolina"
"683","103","32","36","0","12","20","32","12","19","24","27","0","12","24","27","0","12","133","74","90","66","43","35","0","12","76","51","76","51","0","12","0","12","145","82","100","60","45","52","0","12","189","83","141","73","48","36","0","12","84","63","84","63","0","12","0","12","1500000US371790202024","Block Group 4, Census Tract 202.02, Union County, North Carolina"
