"C25095_001E","C25095_001M","C25095_002E","C25095_002M","C25095_003E","C25095_003M","C25095_004E","C25095_004M","C25095_005E","C25095_005M","C25095_006E","C25095_006M","C25095_007E","C25095_007M","C25095_008E","C25095_008M","C25095_009E","C25095_009M","C25095_010E","C25095_010M","C25095_011E","C25095_011M","C25095_012E","C25095_012M","C25095_013E","C25095_013M","C25095_014E","C25095_014M","C25095_015E","C25095_015M","C25095_016E","C25095_016M","C25095_017E","C25095_017M","C25095_018E","C25095_018M","C25095_019E","C25095_019M","C25095_020E","C25095_020M","C25095_021E","C25095_021M","C25095_022E","C25095_022M","C25095_023E","C25095_023M","C25095_024E","C25095_024M","C25095_025E","C25095_025M","C25095_026E","C25095_026M","C25095_027E","C25095_027M","C25095_028E","C25095_028M","C25095_029E","C25095_029M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!Less than $10,000!!Less than 30.0 percent","Margin of Error!!Total!!Less than $10,000!!Less than 30.0 percent","Estimate!!Total!!Less than $10,000!!30.0 percent or more","Margin of Error!!Total!!Less than $10,000!!30.0 percent or more","Estimate!!Total!!Less than $10,000!!Not computed","Margin of Error!!Total!!Less than $10,000!!Not computed","Estimate!!Total!!$10,000 to $19,999","Margin of Error!!Total!!$10,000 to $19,999","Estimate!!Total!!$10,000 to $19,999!!Less than 30.0 percent","Margin of Error!!Total!!$10,000 to $19,999!!Less than 30.0 percent","Estimate!!Total!!$10,000 to $19,999!!30.0 percent or more","Margin of Error!!Total!!$10,000 to $19,999!!30.0 percent or more","Estimate!!Total!!$10,000 to $19,999!!Not computed","Margin of Error!!Total!!$10,000 to $19,999!!Not computed","Estimate!!Total!!$20,000 to $34,999","Margin of Error!!Total!!$20,000 to $34,999","Estimate!!Total!!$20,000 to $34,999!!Less than 30.0 percent","Margin of Error!!Total!!$20,000 to $34,999!!Less than 30.0 percent","Estimate!!Total!!$20,000 to $34,999!!30.0 percent or more","Margin of Error!!Total!!$20,000 to $34,999!!30.0 percent or more","Estimate!!Total!!$20,000 to $34,999!!Not computed","Margin of Error!!Total!!$20,000 to $34,999!!Not computed","Estimate!!Total!!$35,000 to $49,999","Margin of Error!!Total!!$35,000 to $49,999","Estimate!!Total!!$35,000 to $49,999!!Less than 30.0 percent","Margin of Error!!Total!!$35,000 to $49,999!!Less than 30.0 percent","Estimate!!Total!!$35,000 to $49,999!!30.0 percent or more","Margin of Error!!Total!!$35,000 to $49,999!!30.0 percent or more","Estimate!!Total!!$35,000 to $49,999!!Not computed","Margin of Error!!Total!!$35,000 to $49,999!!Not computed","Estimate!!Total!!$50,000 to $74,999","Margin of Error!!Total!!$50,000 to $74,999","Estimate!!Total!!$50,000 to $74,999!!Less than 30.0 percent","Margin of Error!!Total!!$50,000 to $74,999!!Less than 30.0 percent","Estimate!!Total!!$50,000 to $74,999!!30.0 percent or more","Margin of Error!!Total!!$50,000 to $74,999!!30.0 percent or more","Estimate!!Total!!$50,000 to $74,999!!Not computed","Margin of Error!!Total!!$50,000 to $74,999!!Not computed","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$75,000 to $99,999!!Less than 30.0 percent","Margin of Error!!Total!!$75,000 to $99,999!!Less than 30.0 percent","Estimate!!Total!!$75,000 to $99,999!!30.0 percent or more","Margin of Error!!Total!!$75,000 to $99,999!!30.0 percent or more","Estimate!!Total!!$75,000 to $99,999!!Not computed","Margin of Error!!Total!!$75,000 to $99,999!!Not computed","Estimate!!Total!!$100,000 or more","Margin of Error!!Total!!$100,000 or more","Estimate!!Total!!$100,000 or more!!Less than 30.0 percent","Margin of Error!!Total!!$100,000 or more!!Less than 30.0 percent","Estimate!!Total!!$100,000 or more!!30.0 percent or more","Margin of Error!!Total!!$100,000 or more!!30.0 percent or more","Estimate!!Total!!$100,000 or more!!Not computed","Margin of Error!!Total!!$100,000 or more!!Not computed","id","Geographic Area Name"
"338","85","26","18","8","13","18","19","0","12","57","40","33","30","24","26","0","12","56","40","13","20","43","37","0","12","26","25","11","16","15","17","0","12","66","53","66","53","0","12","0","12","45","35","45","35","0","12","0","12","62","44","62","44","0","12","0","12","1500000US370010201001","Block Group 1, Census Tract 201, Alamance County, North Carolina"
"501","96","10","15","0","12","0","12","10","15","41","37","12","18","29","32","0","12","21","23","13","19","8","13","0","12","60","36","50","40","10","15","0","12","123","61","113","58","10","16","0","12","135","50","121","49","14","20","0","12","111","53","90","47","21","23","0","12","1500000US370010201002","Block Group 2, Census Tract 201, Alamance County, North Carolina"
"35","34","11","17","0","12","11","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","24","28","24","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010201003","Block Group 3, Census Tract 201, Alamance County, North Carolina"
"12","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","14","12","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010201004","Block Group 4, Census Tract 201, Alamance County, North Carolina"
"211","95","21","24","0","12","11","17","10","16","0","12","0","12","0","12","0","12","168","96","52","48","116","91","0","12","8","15","8","15","0","12","0","12","5","8","5","8","0","12","0","12","0","12","0","12","0","12","0","12","9","15","9","15","0","12","0","12","1500000US370010202001","Block Group 1, Census Tract 202, Alamance County, North Carolina"
"99","69","0","12","0","12","0","12","0","12","14","23","0","12","14","23","0","12","12","19","12","19","0","12","0","12","23","28","23","28","0","12","0","12","46","55","46","55","0","12","0","12","0","12","0","12","0","12","0","12","4","14","4","14","0","12","0","12","1500000US370010202002","Block Group 2, Census Tract 202, Alamance County, North Carolina"
"173","80","8","13","0","12","0","12","8","13","79","64","63","62","16","20","0","12","44","49","44","49","0","12","0","12","20","29","20","29","0","12","0","12","0","12","0","12","0","12","0","12","13","21","13","21","0","12","0","12","9","16","9","16","0","12","0","12","1500000US370010202003","Block Group 3, Census Tract 202, Alamance County, North Carolina"
"299","102","0","12","0","12","0","12","0","12","25","27","12","18","13","20","0","12","29","26","21","24","8","13","0","12","45","52","45","52","0","12","0","12","111","75","98","73","13","19","0","12","89","74","89","74","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010202004","Block Group 4, Census Tract 202, Alamance County, North Carolina"
"214","96","24","28","0","12","11","18","13","22","11","16","0","12","11","16","0","12","102","84","84","79","18","27","0","12","50","27","50","27","0","12","0","12","1","10","1","10","0","12","0","12","26","29","26","29","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010203001","Block Group 1, Census Tract 203, Alamance County, North Carolina"
"85","55","5","10","0","12","5","10","0","12","12","19","0","12","12","19","0","12","18","29","0","12","18","29","0","12","17","28","0","12","17","28","0","12","10","17","10","17","0","12","0","12","0","12","0","12","0","12","0","12","23","34","23","34","0","12","0","12","1500000US370010203002","Block Group 2, Census Tract 203, Alamance County, North Carolina"
"409","114","14","23","0","12","0","12","14","23","0","12","0","12","0","12","0","12","164","89","149","94","15","23","0","12","109","73","74","74","35","56","0","12","57","58","57","58","0","12","0","12","12","19","12","19","0","12","0","12","53","59","53","59","0","12","0","12","1500000US370010203003","Block Group 3, Census Tract 203, Alamance County, North Carolina"
"421","112","28","34","0","12","28","34","0","12","76","96","60","94","16","25","0","12","45","41","45","41","0","12","0","12","112","67","100","65","12","20","0","12","93","62","93","62","0","12","0","12","67","47","67","47","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010203004","Block Group 4, Census Tract 203, Alamance County, North Carolina"
"605","170","29","27","5","7","13","20","11","17","229","151","162","138","67","73","0","12","158","77","81","71","77","82","0","12","47","47","47","47","0","12","0","12","71","45","58","43","13","23","0","12","41","50","41","50","0","12","0","12","30","36","30","36","0","12","0","12","1500000US370010203005","Block Group 5, Census Tract 203, Alamance County, North Carolina"
"525","132","0","12","0","12","0","12","0","12","33","39","0","12","33","39","0","12","111","94","24","27","87","88","0","12","102","78","93","76","9","18","0","12","174","97","150","95","24","36","0","12","76","52","76","52","0","12","0","12","29","35","29","35","0","12","0","12","1500000US370010204001","Block Group 1, Census Tract 204, Alamance County, North Carolina"
"159","75","28","44","0","12","28","44","0","12","13","21","0","12","13","21","0","12","34","34","0","12","34","34","0","12","63","51","48","46","15","23","0","12","21","32","21","32","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010204002","Block Group 2, Census Tract 204, Alamance County, North Carolina"
"65","54","13","24","0","12","13","24","0","12","13","21","13","21","0","12","0","12","0","12","0","12","0","12","0","12","23","35","0","12","23","35","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","26","16","26","0","12","0","12","1500000US370010204003","Block Group 3, Census Tract 204, Alamance County, North Carolina"
"138","62","0","12","0","12","0","12","0","12","12","19","0","12","12","19","0","12","35","40","35","40","0","12","0","12","48","46","48","46","0","12","0","12","43","41","43","41","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010204004","Block Group 4, Census Tract 204, Alamance County, North Carolina"
"283","93","14","24","0","12","14","24","0","12","70","60","16","26","54","53","0","12","33","35","15","22","18","29","0","12","49","61","49","61","0","12","0","12","60","53","60","53","0","12","0","12","44","40","44","40","0","12","0","12","13","22","13","22","0","12","0","12","1500000US370010204005","Block Group 5, Census Tract 204, Alamance County, North Carolina"
"477","120","7","14","0","12","7","14","0","12","64","51","39","35","25","35","0","12","97","67","74","59","23","26","0","12","66","43","66","43","0","12","0","12","138","65","131","63","7","11","0","12","21","24","21","24","0","12","0","12","84","51","84","51","0","12","0","12","1500000US370010205011","Block Group 1, Census Tract 205.01, Alamance County, North Carolina"
"429","87","0","12","0","12","0","12","0","12","72","55","10","17","62","53","0","12","67","59","28","27","39","58","0","12","76","50","52","36","24","38","0","12","23","22","23","22","0","12","0","12","113","64","100","59","13","22","0","12","78","54","78","54","0","12","0","12","1500000US370010205012","Block Group 2, Census Tract 205.01, Alamance County, North Carolina"
"418","143","12","18","12","18","0","12","0","12","24","23","5","10","19","22","0","12","24","29","5","9","19","27","0","12","113","82","94","80","19","25","0","12","196","124","176","119","20","32","0","12","0","12","0","12","0","12","0","12","49","48","49","48","0","12","0","12","1500000US370010205021","Block Group 1, Census Tract 205.02, Alamance County, North Carolina"
"172","81","0","12","0","12","0","12","0","12","28","29","28","29","0","12","0","12","25","27","0","12","25","27","0","12","59","76","59","76","0","12","0","12","40","49","40","49","0","12","0","12","0","12","0","12","0","12","0","12","20","32","20","32","0","12","0","12","1500000US370010205022","Block Group 2, Census Tract 205.02, Alamance County, North Carolina"
"149","82","15","24","0","12","0","12","15","24","32","42","32","42","0","12","0","12","35","42","10","19","25","37","0","12","35","36","17","28","18","22","0","12","32","60","32","60","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010205023","Block Group 3, Census Tract 205.02, Alamance County, North Carolina"
"421","71","0","12","0","12","0","12","0","12","31","25","11","19","20","16","0","12","56","38","38","34","18","29","0","12","80","54","30","34","50","44","0","12","104","60","72","56","32","36","0","12","50","33","50","33","0","12","0","12","100","48","100","48","0","12","0","12","1500000US370010206011","Block Group 1, Census Tract 206.01, Alamance County, North Carolina"
"363","76","0","12","0","12","0","12","0","12","34","38","20","31","14","23","0","12","28","30","0","12","28","30","0","12","42","39","42","39","0","12","0","12","24","26","11","17","13","20","0","12","9","14","9","14","0","12","0","12","226","84","217","84","9","16","0","12","1500000US370010206012","Block Group 2, Census Tract 206.01, Alamance County, North Carolina"
"596","81","37","54","0","12","37","54","0","12","25","30","0","12","25","30","0","12","77","43","38","36","39","37","0","12","9","16","9","16","0","12","0","12","114","54","114","54","0","12","0","12","89","67","89","67","0","12","0","12","245","74","245","74","0","12","0","12","1500000US370010206013","Block Group 3, Census Tract 206.01, Alamance County, North Carolina"
"117","61","15","16","0","12","7","11","8","13","37","33","23","27","14","21","0","12","30","33","30","33","0","12","0","12","0","12","0","12","0","12","0","12","35","38","35","38","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010206021","Block Group 1, Census Tract 206.02, Alamance County, North Carolina"
"828","85","21","27","0","12","13","27","8","13","50","35","29","32","21","23","0","12","185","101","101","75","84","83","0","12","75","47","47","38","28","27","0","12","94","46","84","46","10","16","0","12","136","54","116","52","20","34","0","12","267","80","267","80","0","12","0","12","1500000US370010206022","Block Group 2, Census Tract 206.02, Alamance County, North Carolina"
"187","98","0","12","0","12","0","12","0","12","17","27","0","12","17","27","0","12","73","68","73","68","0","12","0","12","57","74","57","74","0","12","0","12","18","31","18","31","0","12","0","12","0","12","0","12","0","12","0","12","22","43","22","43","0","12","0","12","1500000US370010207011","Block Group 1, Census Tract 207.01, Alamance County, North Carolina"
"445","86","65","62","0","12","41","46","24","39","56","51","40","44","16","25","0","12","66","51","34","37","32","36","0","12","25","39","25","39","0","12","0","12","108","80","108","80","0","12","0","12","13","20","13","20","0","12","0","12","112","60","112","60","0","12","0","12","1500000US370010207012","Block Group 2, Census Tract 207.01, Alamance County, North Carolina"
"295","76","0","12","0","12","0","12","0","12","39","43","0","12","39","43","0","12","79","64","59","57","20","31","0","12","52","54","28","41","24","37","0","12","22","33","22","33","0","12","0","12","84","58","84","58","0","12","0","12","19","29","19","29","0","12","0","12","1500000US370010207013","Block Group 3, Census Tract 207.01, Alamance County, North Carolina"
"571","94","9","14","0","12","0","12","9","14","37","41","21","33","16","25","0","12","105","84","17","29","88","79","0","12","7","12","0","12","7","12","0","12","103","79","71","59","32","49","0","12","61","43","61","43","0","12","0","12","249","79","249","79","0","12","0","12","1500000US370010207014","Block Group 4, Census Tract 207.01, Alamance County, North Carolina"
"207","85","18","30","0","12","18","30","0","12","45","51","0","12","45","51","0","12","27","31","27","31","0","12","0","12","24","32","24","32","0","12","0","12","56","50","56","50","0","12","0","12","0","12","0","12","0","12","0","12","37","57","37","57","0","12","0","12","1500000US370010207021","Block Group 1, Census Tract 207.02, Alamance County, North Carolina"
"508","128","0","12","0","12","0","12","0","12","16","24","0","12","16","24","0","12","86","72","86","72","0","12","0","12","101","102","18","34","83","94","0","12","214","155","214","155","0","12","0","12","53","52","53","52","0","12","0","12","38","40","38","40","0","12","0","12","1500000US370010207022","Block Group 2, Census Tract 207.02, Alamance County, North Carolina"
"69","52","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","32","19","32","0","12","0","12","19","32","19","32","0","12","0","12","2","11","2","11","0","12","0","12","12","19","12","19","0","12","0","12","17","28","17","28","0","12","0","12","1500000US370010207023","Block Group 3, Census Tract 207.02, Alamance County, North Carolina"
"256","82","0","12","0","12","0","12","0","12","18","28","0","12","18","28","0","12","29","35","0","12","29","35","0","12","0","12","0","12","0","12","0","12","30","36","30","36","0","12","0","12","84","59","84","59","0","12","0","12","95","69","95","69","0","12","0","12","1500000US370010207024","Block Group 4, Census Tract 207.02, Alamance County, North Carolina"
"101","43","0","12","0","12","0","12","0","12","13","20","13","20","0","12","0","12","14","14","14","14","0","12","0","12","23","23","23","23","0","12","0","12","46","29","46","29","0","12","0","12","0","12","0","12","0","12","0","12","5","9","5","9","0","12","0","12","1500000US370010208011","Block Group 1, Census Tract 208.01, Alamance County, North Carolina"
"350","72","33","40","0","12","28","43","5","8","26","25","11","12","15","23","0","12","65","38","34","23","31","30","0","12","140","76","113","78","27","22","0","12","28","26","28","26","0","12","0","12","13","16","13","16","0","12","0","12","45","38","45","38","0","12","0","12","1500000US370010208012","Block Group 2, Census Tract 208.01, Alamance County, North Carolina"
"32","37","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","26","0","12","17","26","0","12","15","25","15","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010208021","Block Group 1, Census Tract 208.02, Alamance County, North Carolina"
"117","95","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","15","0","12","9","15","0","12","58","75","46","72","12","18","0","12","29","43","29","43","0","12","0","12","21","34","21","34","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010208022","Block Group 2, Census Tract 208.02, Alamance County, North Carolina"
"306","114","0","12","0","12","0","12","0","12","42","42","14","23","28","34","0","12","100","89","15","23","85","88","0","12","157","100","88","81","69","56","0","12","7","17","7","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010208023","Block Group 3, Census Tract 208.02, Alamance County, North Carolina"
"150","106","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","41","37","41","37","0","12","0","12","57","71","57","71","0","12","0","12","52","60","52","60","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010208024","Block Group 4, Census Tract 208.02, Alamance County, North Carolina"
"51","48","0","12","0","12","0","12","0","12","17","29","0","12","17","29","0","12","0","12","0","12","0","12","0","12","16","29","0","12","16","29","0","12","8","13","8","13","0","12","0","12","10","16","10","16","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010208025","Block Group 5, Census Tract 208.02, Alamance County, North Carolina"
"169","63","11","18","0","12","0","12","11","18","29","35","0","12","29","35","0","12","64","49","37","36","27","32","0","12","28","39","23","36","5","9","0","12","17","27","17","27","0","12","0","12","10","18","10","18","0","12","0","12","10","15","10","15","0","12","0","12","1500000US370010208026","Block Group 6, Census Tract 208.02, Alamance County, North Carolina"
"285","80","17","25","0","12","17","25","0","12","64","60","22","35","42","49","0","12","47","47","47","47","0","12","0","12","28","26","28","26","0","12","0","12","61","49","61","49","0","12","0","12","20","19","20","19","0","12","0","12","48","33","33","28","15","22","0","12","1500000US370010209011","Block Group 1, Census Tract 209.01, Alamance County, North Carolina"
"337","88","36","44","0","12","36","44","0","12","12","20","0","12","12","20","0","12","112","84","95","80","17","35","0","12","40","28","40","28","0","12","0","12","50","51","50","51","0","12","0","12","36","35","36","35","0","12","0","12","51","34","51","34","0","12","0","12","1500000US370010209012","Block Group 2, Census Tract 209.01, Alamance County, North Carolina"
"363","106","41","49","0","12","26","42","15","25","41","53","30","50","11","17","0","12","111","85","80","82","31","36","0","12","13","22","0","12","13","22","0","12","45","40","8","9","37","39","0","12","47","41","47","41","0","12","0","12","65","42","65","42","0","12","0","12","1500000US370010209013","Block Group 3, Census Tract 209.01, Alamance County, North Carolina"
"597","118","21","31","0","12","0","12","21","31","21","25","0","12","21","25","0","12","124","71","96","68","28","32","0","12","38","41","38","41","0","12","0","12","81","47","81","47","0","12","0","12","193","81","193","81","0","12","0","12","119","57","119","57","0","12","0","12","1500000US370010209021","Block Group 1, Census Tract 209.02, Alamance County, North Carolina"
"505","98","13","22","0","12","13","22","0","12","82","56","26","28","56","50","0","12","94","82","11","19","83","81","0","12","40","37","40","37","0","12","0","12","90","46","63","43","27","28","0","12","33","31","33","31","0","12","0","12","153","68","153","68","0","12","0","12","1500000US370010209022","Block Group 2, Census Tract 209.02, Alamance County, North Carolina"
"120","54","6","10","0","12","0","12","6","10","29","28","0","12","29","28","0","12","33","29","20","22","13","20","0","12","25","27","12","20","13","19","0","12","12","18","12","18","0","12","0","12","15","19","15","19","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010210001","Block Group 1, Census Tract 210, Alamance County, North Carolina"
"243","65","20","22","11","16","9","15","0","12","58","37","18","21","40","30","0","12","36","29","10","15","26","25","0","12","38","32","38","32","0","12","0","12","68","40","54","33","14","21","0","12","13","16","13","16","0","12","0","12","10","16","10","16","0","12","0","12","1500000US370010210002","Block Group 2, Census Tract 210, Alamance County, North Carolina"
"81","43","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","30","34","0","12","30","34","0","12","15","16","7","11","8","12","0","12","35","26","35","26","0","12","0","12","1","12","1","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010210003","Block Group 3, Census Tract 210, Alamance County, North Carolina"
"260","76","18","22","0","12","18","22","0","12","58","39","43","30","15","25","0","12","10","16","10","16","0","12","0","12","55","41","35","33","20","27","0","12","13","19","13","19","0","12","0","12","54","53","54","53","0","12","0","12","52","47","52","47","0","12","0","12","1500000US370010211011","Block Group 1, Census Tract 211.01, Alamance County, North Carolina"
"376","75","0","12","0","12","0","12","0","12","41","37","27","29","14","22","0","12","30","31","21","27","9","12","0","12","79","47","34","39","45","44","0","12","93","51","93","51","0","12","0","12","59","47","59","47","0","12","0","12","74","43","74","43","0","12","0","12","1500000US370010211012","Block Group 2, Census Tract 211.01, Alamance County, North Carolina"
"121","57","13","19","0","12","0","12","13","19","0","12","0","12","0","12","0","12","23","21","23","21","0","12","0","12","20","25","20","25","0","12","0","12","17","19","17","19","0","12","0","12","48","38","48","38","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010211013","Block Group 3, Census Tract 211.01, Alamance County, North Carolina"
"103","51","0","12","0","12","0","12","0","12","11","17","11","17","0","12","0","12","21","23","21","23","0","12","0","12","0","12","0","12","0","12","0","12","24","25","24","25","0","12","0","12","19","32","19","32","0","12","0","12","28","35","28","35","0","12","0","12","1500000US370010211021","Block Group 1, Census Tract 211.02, Alamance County, North Carolina"
"266","73","0","12","0","12","0","12","0","12","9","15","9","15","0","12","0","12","28","36","7","12","21","33","0","12","26","41","0","12","26","41","0","12","27","42","0","12","27","42","0","12","80","53","80","53","0","12","0","12","96","67","96","67","0","12","0","12","1500000US370010211022","Block Group 2, Census Tract 211.02, Alamance County, North Carolina"
"389","75","14","23","0","12","14","23","0","12","26","30","16","27","10","16","0","12","86","50","68","44","18","24","0","12","103","53","50","36","53","46","0","12","57","41","57","41","0","12","0","12","54","47","54","47","0","12","0","12","49","43","49","43","0","12","0","12","1500000US370010211023","Block Group 3, Census Tract 211.02, Alamance County, North Carolina"
"491","86","31","24","0","12","11","11","20","22","44","35","5","6","39","34","0","12","154","59","88","42","66","45","0","12","120","51","74","41","46","25","0","12","35","20","25","18","10","10","0","12","37","37","37","37","0","12","0","12","70","34","70","34","0","12","0","12","1500000US370010212011","Block Group 1, Census Tract 212.01, Alamance County, North Carolina"
"559","86","58","38","0","12","10","12","48","36","51","30","34","26","17","14","0","12","98","41","64","44","34","25","0","12","96","48","93","48","3","5","0","12","146","65","136","64","10","11","0","12","62","35","62","35","0","12","0","12","48","29","46","29","2","4","0","12","1500000US370010212012","Block Group 2, Census Tract 212.01, Alamance County, North Carolina"
"250","68","15","17","0","12","15","17","0","12","10","11","5","7","5","7","0","12","65","45","45","37","20","26","0","12","73","46","54","38","19","27","0","12","29","22","29","22","0","12","0","12","29","28","29","28","0","12","0","12","29","25","29","25","0","12","0","12","1500000US370010212013","Block Group 3, Census Tract 212.01, Alamance County, North Carolina"
"309","66","0","12","0","12","0","12","0","12","4","8","0","12","4","8","0","12","24","26","11","17","13","19","0","12","24","24","11","17","13","16","0","12","117","52","75","44","42","34","0","12","53","37","53","37","0","12","0","12","87","45","87","45","0","12","0","12","1500000US370010212041","Block Group 1, Census Tract 212.04, Alamance County, North Carolina"
"514","94","75","64","14","22","61","61","0","12","80","53","52","51","28","25","0","12","29","28","11","19","18","21","0","12","39","26","18","13","21","21","0","12","91","55","82","53","9","14","0","12","59","44","46","39","13","20","0","12","141","68","141","68","0","12","0","12","1500000US370010212042","Block Group 2, Census Tract 212.04, Alamance County, North Carolina"
"380","90","10","16","0","12","0","12","10","16","19","18","7","12","12","14","0","12","103","71","72","53","31","45","0","12","68","66","49","63","19","21","0","12","92","60","84","59","8","12","0","12","37","38","30","38","7","12","0","12","51","45","51","45","0","12","0","12","1500000US370010212043","Block Group 3, Census Tract 212.04, Alamance County, North Carolina"
"406","114","8","14","0","12","0","12","8","14","10","16","10","16","0","12","0","12","28","31","16","26","12","21","0","12","44","47","17","28","27","38","0","12","80","68","48","53","32","51","0","12","50","48","41","49","9","17","0","12","186","92","186","92","0","12","0","12","1500000US370010212051","Block Group 1, Census Tract 212.05, Alamance County, North Carolina"
"267","107","0","12","0","12","0","12","0","12","17","29","17","29","0","12","0","12","113","83","52","63","61","55","0","12","76","77","20","26","56","72","0","12","49","41","49","41","0","12","0","12","12","20","12","20","0","12","0","12","0","12","0","12","0","12","0","12","1500000US370010212052","Block Group 2, Census Tract 212.05, Alamance County, North Carolina"
"526","149","14","21","0","12","14","21","0","12","46","40","0","12","46","40","0","12","46","46","35","40","11","22","0","12","135","85","40","38","95","74","0","12","148","91","76","73","72","70","0","12","26","42","26","42","0","12","0","12","111","70","111","70","0","12","0","12","1500000US370010212053","Block Group 3, Census Tract 212.05, Alamance County, North Carolina"
"438","85","25","37","0","12","25","37","0","12","81","81","8","15","73","81","0","12","177","83","97","67","80","59","0","12","31","32","22","28","9","14","0","12","50","43","50","43","0","12","0","12","30","28","30","28","0","12","0","12","44","45","44","45","0","12","0","12","1500000US370010212061","Block Group 1, Census Tract 212.06, Alamance County, North Carolina"
"369","84","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","16","9","16","0","12","0","12","66","71","0","12","66","71","0","12","18","27","10","24","8","13","0","12","115","65","115","65","0","12","0","12","161","67","161","67","0","12","0","12","1500000US370010212062","Block Group 2, Census Tract 212.06, Alamance County, North Carolina"
"407","89","21","24","0","12","9","16","12","19","9","15","0","12","9","15","0","12","110","67","10","16","100","65","0","12","51","44","51","44","0","12","0","12","73","46","69","46","4","8","0","12","67","60","67","60","0","12","0","12","76","59","76","59","0","12","0","12","1500000US370010212063","Block Group 3, Census Tract 212.06, Alamance County, North Carolina"
"259","79","0","12","0","12","0","12","0","12","11","18","0","12","11","18","0","12","19","22","7","12","12","18","0","12","39","32","29","29","10","15","0","12","71","57","71","57","0","12","0","12","38","36","38","36","0","12","0","12","81","50","81","50","0","12","0","12","1500000US370010212071","Block Group 1, Census Tract 212.07, Alamance County, North Carolina"
"678","127","17","21","0","12","17","21","0","12","39","33","27","27","12","20","0","12","113","94","113","94","0","12","0","12","32","39","32","39","0","12","0","12","280","101","258","98","22","34","0","12","90","50","90","50","0","12","0","12","107","83","107","83","0","12","0","12","1500000US370010212072","Block Group 2, Census Tract 212.07, Alamance County, North Carolina"
"399","89","5","5","0","12","5","5","0","12","54","36","40","33","14","12","0","12","71","43","24","12","47","42","0","12","46","24","22","9","24","22","0","12","125","47","99","41","26","22","0","12","60","28","60","28","0","12","0","12","38","25","38","25","0","12","0","12","1500000US370010213001","Block Group 1, Census Tract 213, Alamance County, North Carolina"
"341","68","13","7","4","4","7","5","2","3","40","24","25","22","15","12","0","12","103","38","35","18","68","33","0","12","42","26","35","25","7","6","0","12","83","33","80","33","3","3","0","12","39","21","24","13","15","18","0","12","21","11","21","11","0","12","0","12","1500000US370010213002","Block Group 2, Census Tract 213, Alamance County, North Carolina"
"315","62","31","23","2","3","28","22","1","4","37","27","5","5","32","26","0","12","81","38","36","28","45","23","0","12","31","17","21","14","10","10","0","12","58","31","53","31","5","5","0","12","31","17","29","17","2","3","0","12","46","29","31","20","15","21","0","12","1500000US370010213003","Block Group 3, Census Tract 213, Alamance County, North Carolina"
"623","116","39","38","0","12","39","38","0","12","17","24","0","12","17","24","0","12","9","7","7","6","2","3","0","12","67","50","44","39","23","31","0","12","95","74","65","68","30","26","0","12","135","77","117","73","18","24","0","12","261","82","247","85","14","19","0","12","1500000US370010213004","Block Group 4, Census Tract 213, Alamance County, North Carolina"
"289","64","37","22","5","4","31","21","1","3","47","27","37","26","10","9","0","12","49","29","35","29","14","8","0","12","21","11","16","9","5","5","0","12","54","33","48","31","6","6","0","12","30","19","30","19","0","12","0","12","51","32","51","32","0","12","0","12","1500000US370010213005","Block Group 5, Census Tract 213, Alamance County, North Carolina"
